title,author,price
The 13th directorate,Barry Chubin,0.99
Babysitters Club,Ann M. Martin,0.99
The Complete Science Fiction Treasury of H.G. Wells,H. G. Wells,0.99
Nancy Drew Starter Set,Carolyn Keene,0.99
THE GOON SHOW,VÁRIOS AUTORES,1.19
The Wizard's Apprentice,Jackie French Koller,1.39
The Curious Incident of the Dog in the Night-time,Mark Haddon,1.59
Boy Who Turned Into a TV Set,Stephen Manes,1.99
"Baby Einstein: Water, Water Everywhere","Disney Book Group,",1.99
Baby Einstein: Violet's House,Julie Aigner-Clark,1.99
Eat!,Roberta Grobel Intrater,1.99
Guilty as Charged,Scott Turow,1.99
Disney's Little Einsteins: Birthday Machine,Susan Ring,2.19
"Head, Shoulders, Knees and Toes ...",2,2.19
"Eric Carle's Very Little Library: The very hungry caterpillar (1st board book ed., 1994)",2,2.29
Where Is Baby's Mommy?,Karen Katz,2.39
Lewis Carroll's Jabberwocky,Graeme Base,2.39
"Moo, Baa, la la La!",Sandra Boynton,2.39
"Baby Einstein: Sweet Dreams, Mimi",Julie Aigner-Clark,2.59
Baby Einstein: Neighborhood Animals,Marilyn Singer;Julie Aigner-Clark,2.59
Baby Einstein: What Does Violet See? Raindrops and Puddles,Julie Aigner-Clark,2.79
What A Lady Wants,Victoria Alexander,2.99
"Martin Luther King, Jr",Martin Luther Jr King,2.99
The Homecoming,Harold Pinter,2.99
"Eats, Shoots & Leaves",Lynne Truss,2.99
The Lord of the Rings,J. R. R. Tolkien;Alan Lee,2.99
Winston S. Churchill,Randolph Spencer Churchill;Martin Gilbert,2.99
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,2.99
The Fellowship of the Ring,John Ronald Reuel Tolkien,2.99
About a Boy,Nick Hornby,2.99
"Goodman & Gilman's The Pharmacological Basis of Therapeutics, Eleventh Edition",Laurence Brunton;John Lazo;Keith Parker,2.99
"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,2.99
Sugarplums and Scandal,Dana Cameron;Mary Daheim;Lori Avocato;Kerrelyn Sparks;Suzanne Macpherson;Cait London,2.99
The Collected Poetry of Nikki Giovanni,Nikki Giovanni,2.99
The Queen of Attolia,Megan Whalen Turner,2.99
Midnighters #2: Touching Darkness,Scott Westerfeld,2.99
"Sleep, Pale Sister",Joanne Harris,2.99
The Wit and Wisdom of Winston Churchill,James C. Humes,2.99
A Little Bit Wicked,Victoria Alexander,2.99
Light,M. John Harrison,2.99
The Last of the Mohicans,James Fenimore Cooper,2.99
"Selected Poems (Melville, Herman)",Herman Melville,2.99
Cicero in Twenty-eight Volumes,Marcus Tullius Cicero,2.99
Metamorphoses,Publius Naso,2.99
Living with the Passive-Aggressive Man,Scott Wetzler,2.99
Henry VIII,William Shakespeare,2.99
Shakespeare's Sonnets,William Shakespeare,2.99
Henry IV,William Shakespeare,2.99
Henry V,William Shakespeare,2.99
As You Like It,William Shakespeare,2.99
Metamorphoses,Ovid,2.99
Descriptive Writing,Tara McCarthy,2.99
Dance of the Gods,Nora Roberts,2.99
The Pursuit of Happyness,Chris Gardner,2.99
"Kristin Lavransdatter, II: The Wife",Sigrid Undset,2.99
The Hound of the Baskervilles,Sir Arthur Conan Doyle,2.99
Tom Clancy's Net Force: Virtual Vandals,Tom Clancy;Steve Pieczenik;Diane Duane,2.99
